Invoice,CustomerID,Country,InvoiceDateOnly,Revenue,Quantity
489782,17189.0,United Kingdom,2009-12-02,228.36,147
489783,13269.0,United Kingdom,2009-12-02,162.04,152
489784,13269.0,United Kingdom,2009-12-02,40.8,48
489785,14653.0,United Kingdom,2009-12-02,333.09000000000003,248
489786,17019.0,United Kingdom,2009-12-02,212.66,197
489787,15542.0,United Kingdom,2009-12-02,293.19,116
489788,13564.0,United Kingdom,2009-12-02,119.16,38
489789,15833.0,United Kingdom,2009-12-02,80.4,24
489790,16467.0,United Kingdom,2009-12-02,131.12,88
489791,15542.0,United Kingdom,2009-12-02,216.59,87
489792,14527.0,United Kingdom,2009-12-02,923.79,165
489793,17476.0,United Kingdom,2009-12-02,260.36,124
489794,15287.0,United Kingdom,2009-12-02,58.2,55
489795,14440.0,United Kingdom,2009-12-02,935.01,287
489796,15680.0,United Kingdom,2009-12-02,311.5,268
489797,15581.0,United Kingdom,2009-12-02,196.88,141
489798,13740.0,United Kingdom,2009-12-02,296.69,93
489800,17768.0,United Kingdom,2009-12-02,382.57,502
489801,12948.0,United Kingdom,2009-12-02,128.48000000000002,144
489802,15581.0,United Kingdom,2009-12-02,174.52,156
489804,14667.0,United Kingdom,2009-12-02,251.17000000000002,185
489805,17377.0,United Kingdom,2009-12-02,454.35,227
489807,15581.0,United Kingdom,2009-12-02,180.13,241
489808,14467.0,United Kingdom,2009-12-02,109.84,82
489809,13457.0,United Kingdom,2009-12-02,112.5,68
489810,18108.0,United Kingdom,2009-12-02,493.25,165
489811,16210.0,United Kingdom,2009-12-02,634.29,515
489812,17377.0,United Kingdom,2009-12-02,597.6899999999999,85
489814,14669.0,United Kingdom,2009-12-02,811.53,503
489815,17909.0,United Kingdom,2009-12-02,110.05,35
489816,16086.0,United Kingdom,2009-12-02,284.55,258
489817,16711.0,United Kingdom,2009-12-02,340.2,132
489818,16233.0,United Kingdom,2009-12-02,294.3,102
489819,14739.0,United Kingdom,2009-12-02,618.4300000000001,465
489822,14204.0,United Kingdom,2009-12-02,371.27000000000004,103
489823,17606.0,United Kingdom,2009-12-02,87.30000000000001,42
489824,16797.0,United Kingdom,2009-12-02,176.88,127
489825,16126.0,United Kingdom,2009-12-02,174.1,94
489826,17867.0,United Kingdom,2009-12-02,85.95,17
489827,17412.0,United Kingdom,2009-12-02,445.7,382
489829,16525.0,United Kingdom,2009-12-02,472.47,237
489830,13623.0,United Kingdom,2009-12-02,628.14,240
489831,12435.0,Denmark,2009-12-02,1008.0,480
489832,14549.0,United Kingdom,2009-12-02,313.27,121
489833,14980.0,United Kingdom,2009-12-02,150.68,79
489834,14106.0,United Kingdom,2009-12-02,214.79999999999998,24
489835,15061.0,United Kingdom,2009-12-02,714.0,280
489837,14396.0,United Kingdom,2009-12-02,507.47,268
489840,14122.0,United Kingdom,2009-12-02,89.69999999999999,6
489855,16987.0,United Kingdom,2009-12-02,157.91,56
489862,17809.0,United Kingdom,2009-12-02,734.7,150
489863,15917.0,United Kingdom,2009-12-02,66.82,21
489864,14987.0,United Kingdom,2009-12-02,206.85,79
489865,14080.0,United Kingdom,2009-12-02,234.87,53
489866,16200.0,United Kingdom,2009-12-02,987.73,577
489868,15794.0,United Kingdom,2009-12-02,675.0,248
489869,16200.0,United Kingdom,2009-12-02,39.980000000000004,27
489870,15523.0,United Kingdom,2009-12-02,162.1,118
489871,15523.0,United Kingdom,2009-12-02,735.7,274
489872,15615.0,United Kingdom,2009-12-02,632.9,320
489873,15615.0,United Kingdom,2009-12-02,10.2,12
489874,18001.0,United Kingdom,2009-12-02,176.6,144
489875,17841.0,United Kingdom,2009-12-02,525.71,217
489876,15917.0,United Kingdom,2009-12-02,39.85,22
489877,13089.0,United Kingdom,2009-12-02,368.1,162
489878,15989.0,United Kingdom,2009-12-02,140.16,55
489879,17660.0,United Kingdom,2009-12-02,163.47,138
489880,13313.0,United Kingdom,2009-12-02,380.28000000000003,552
489883,12437.0,France,2009-12-02,578.28,263
489884,13313.0,United Kingdom,2009-12-02,3.61,19
489888,14841.0,United Kingdom,2009-12-02,597.4,660
489889,14646.0,Netherlands,2009-12-02,4734.24,3200
489890,14646.0,Netherlands,2009-12-02,976.8,592
489891,15482.0,United Kingdom,2009-12-02,181.08,144
489893,16156.0,United Kingdom,2009-12-02,300.1,98
489894,17716.0,United Kingdom,2009-12-02,520.2,396
489895,12779.0,Poland,2009-12-03,371.82,266
489896,13611.0,United Kingdom,2009-12-03,337.93,227
489897,15255.0,United Kingdom,2009-12-03,260.44,176
489900,14771.0,United Kingdom,2009-12-03,287.37,253
489902,14838.0,United Kingdom,2009-12-03,119.10000000000001,18
489904,13979.0,United Kingdom,2009-12-03,203.78,150
489905,13800.0,United Kingdom,2009-12-03,478.7,242
489906,14483.0,United Kingdom,2009-12-03,120.0,96
489907,14915.0,United Kingdom,2009-12-03,202.06,104
489908,16301.0,United Kingdom,2009-12-03,107.33,41
489909,13753.0,United Kingdom,2009-12-03,642.2,428
489910,15482.0,United Kingdom,2009-12-03,144.0,288
489912,13931.0,United Kingdom,2009-12-03,1146.1000000000001,578
489913,13931.0,United Kingdom,2009-12-03,69.6,16
489914,12921.0,United Kingdom,2009-12-03,993.0,508
489915,17035.0,United Kingdom,2009-12-03,54.599999999999994,36
489916,15194.0,United Kingdom,2009-12-03,336.0,212
489932,14347.0,United Kingdom,2009-12-03,82.6,48
489935,12934.0,United Kingdom,2009-12-03,181.65,31
489994,15291.0,United Kingdom,2009-12-03,430.9,142
489996,17209.0,United Kingdom,2009-12-03,320.40000000000003,514
489998,15658.0,United Kingdom,2009-12-03,321.65,93
489999,17314.0,United Kingdom,2009-12-03,154.2,72
490000,17155.0,United Kingdom,2009-12-03,143.06,89
490001,15965.0,United Kingdom,2009-12-03,169.5,94
490002,17322.0,United Kingdom,2009-12-03,114.55,115
490003,16159.0,United Kingdom,2009-12-03,317.55,163
490004,14051.0,United Kingdom,2009-12-03,912.5600000000001,224
490005,13993.0,United Kingdom,2009-12-03,556.75,203
490006,17411.0,United Kingdom,2009-12-03,344.40000000000003,150
490008,15768.0,United Kingdom,2009-12-03,502.28,256
490009,12835.0,United Kingdom,2009-12-03,285.09,100
490010,15061.0,United Kingdom,2009-12-03,1008.0,480
490011,16918.0,United Kingdom,2009-12-03,221.69,138
490012,15179.0,United Kingdom,2009-12-03,763.35,339
490013,17069.0,United Kingdom,2009-12-03,500.55,395
490014,15466.0,United Kingdom,2009-12-03,740.46,406
490017,14159.0,United Kingdom,2009-12-03,393.65,267
490018,17940.0,United Kingdom,2009-12-03,4380.0,17520
490019,17581.0,United Kingdom,2009-12-03,308.6,116
490020,17581.0,United Kingdom,2009-12-03,37.8,14
490021,17581.0,United Kingdom,2009-12-03,10.2,12
490022,17581.0,United Kingdom,2009-12-03,45.60000000000001,24
490023,16168.0,United Kingdom,2009-12-03,189.15,49
490024,14606.0,United Kingdom,2009-12-03,215.0,121
490034,17287.0,United Kingdom,2009-12-03,69.82,30
490045,17287.0,United Kingdom,2009-12-03,180.39,109
490046,13416.0,United Kingdom,2009-12-03,228.3,66
490047,17913.0,United Kingdom,2009-12-03,263.85,131
490048,16779.0,United Kingdom,2009-12-03,1146.71,681
490049,15794.0,United Kingdom,2009-12-03,102.0,40
490050,17913.0,United Kingdom,2009-12-03,13.5,2
490052,13895.0,United Kingdom,2009-12-03,831.0,408
490053,14057.0,United Kingdom,2009-12-03,119.54,101
490054,17017.0,United Kingdom,2009-12-03,277.5,186
490056,13208.0,United Kingdom,2009-12-03,61.12,56
490057,17465.0,United Kingdom,2009-12-03,360.52,184
490058,17465.0,United Kingdom,2009-12-03,47.85,27
490059,18102.0,United Kingdom,2009-12-03,14475.0,4825
490060,13468.0,United Kingdom,2009-12-03,314.22,148
490061,18102.0,United Kingdom,2009-12-03,4000.0,2000
490062,13485.0,United Kingdom,2009-12-03,165.3,86
490063,17271.0,United Kingdom,2009-12-03,204.3,113
490064,16139.0,United Kingdom,2009-12-03,355.59000000000003,215
490065,15061.0,United Kingdom,2009-12-03,1260.0,600
490066,15953.0,United Kingdom,2009-12-03,372.2,212
490067,15856.0,United Kingdom,2009-12-03,952.61,412
490068,13085.0,United Kingdom,2009-12-03,284.3,90
490069,13085.0,United Kingdom,2009-12-03,161.39999999999998,60
490070,14967.0,United Kingdom,2009-12-03,236.25,68
490071,16497.0,United Kingdom,2009-12-03,294.85,111
490072,17764.0,United Kingdom,2009-12-03,187.15,69
490073,14905.0,United Kingdom,2009-12-03,258.1,172
490075,18229.0,United Kingdom,2009-12-03,381.0,84
490077,17293.0,United Kingdom,2009-12-03,115.50999999999999,65
490078,17853.0,United Kingdom,2009-12-03,584.35,159
490079,15550.0,United Kingdom,2009-12-03,160.35,85
490080,13531.0,United Kingdom,2009-12-03,311.7,126
490081,13786.0,United Kingdom,2009-12-03,723.09,323
490082,14952.0,United Kingdom,2009-12-03,337.9,262
490083,14031.0,United Kingdom,2009-12-03,2506.14,1132
490085,12937.0,United Kingdom,2009-12-03,170.06,108
490086,17949.0,United Kingdom,2009-12-03,799.2,432
490087,15601.0,United Kingdom,2009-12-03,898.1800000000001,668
490088,15581.0,United Kingdom,2009-12-03,17.0,2
490089,17949.0,United Kingdom,2009-12-03,466.20000000000005,252
490090,15581.0,United Kingdom,2009-12-03,41.18,23
490091,17949.0,United Kingdom,2009-12-03,636.0,600
490092,16612.0,United Kingdom,2009-12-03,510.87,297
490093,12949.0,United Kingdom,2009-12-03,1794.7,896
490094,17949.0,United Kingdom,2009-12-03,851.76,504
490095,14958.0,United Kingdom,2009-12-03,186.36,54
490097,17329.0,United Kingdom,2009-12-03,273.52,144
490099,16736.0,United Kingdom,2009-12-03,1225.98,526
490100,13001.0,United Kingdom,2009-12-03,869.9300000000001,403
490101,14644.0,United Kingdom,2009-12-03,338.5,150
490106,14898.0,United Kingdom,2009-12-03,314.37,275
490107,14662.0,United Kingdom,2009-12-03,110.69999999999999,30
490108,17414.0,United Kingdom,2009-12-03,239.68,444
490109,14755.0,United Kingdom,2009-12-03,415.0,204
490110,14755.0,United Kingdom,2009-12-03,30.15,13
490111,17576.0,United Kingdom,2009-12-03,319.96000000000004,220
490112,13037.0,United Kingdom,2009-12-03,313.19,161
490113,14710.0,United Kingdom,2009-12-03,39.2,16
490114,18168.0,United Kingdom,2009-12-03,257.62,160
490115,17679.0,United Kingdom,2009-12-03,342.6,316
490116,17679.0,United Kingdom,2009-12-03,122.39999999999999,48
490118,17851.0,United Kingdom,2009-12-03,317.04,151
490119,12931.0,United Kingdom,2009-12-03,108.75,75
490121,14750.0,United Kingdom,2009-12-03,112.03,65
490124,16791.0,United Kingdom,2009-12-03,304.92,106
490125,16558.0,United Kingdom,2009-12-03,297.05,109
490127,14156.0,EIRE,2009-12-03,569.1800000000001,203
490128,15884.0,United Kingdom,2009-12-03,236.70000000000002,150
490132,17343.0,United Kingdom,2009-12-03,197.3,89
490134,17372.0,United Kingdom,2009-12-03,151.65,59
490135,16003.0,United Kingdom,2009-12-03,387.87,127
490136,17432.0,United Kingdom,2009-12-03,159.95,69
490137,14713.0,United Kingdom,2009-12-03,160.69,104
490138,16722.0,United Kingdom,2009-12-03,339.78,198
490139,12577.0,France,2009-12-03,210.55,79
490140,12872.0,United Kingdom,2009-12-03,407.22,227
490141,15755.0,United Kingdom,2009-12-04,308.75,158
490142,14258.0,United Kingdom,2009-12-04,1261.0,356
490143,14286.0,United Kingdom,2009-12-04,1610.52,1687
490144,13154.0,United Kingdom,2009-12-04,337.1,152
490145,14564.0,Channel Islands,2009-12-04,989.18,439
490147,13408.0,United Kingdom,2009-12-04,510.64,472
490151,16645.0,United Kingdom,2009-12-04,160.39,117
490152,12714.0,France,2009-12-04,682.65,238
490154,16335.0,United Kingdom,2009-12-04,288.79,110
490156,13093.0,United Kingdom,2009-12-04,455.36,262
490157,16736.0,United Kingdom,2009-12-04,138.0,40
490158,12759.0,Netherlands,2009-12-04,508.26,281
490159,13666.0,United Kingdom,2009-12-04,19.5,2
490160,13777.0,United Kingdom,2009-12-04,244.79999999999998,96
490161,17160.0,United Kingdom,2009-12-04,825.94,653
490162,13946.0,United Kingdom,2009-12-04,280.2,206
490163,14723.0,United Kingdom,2009-12-04,141.63,115
490164,14961.0,United Kingdom,2009-12-04,1058.4,632
490166,14735.0,United Kingdom,2009-12-04,371.85,175
490167,18061.0,United Kingdom,2009-12-04,312.21,241
490171,15581.0,United Kingdom,2009-12-04,29.28,32
490202,15078.0,United Kingdom,2009-12-04,410.0,188
490209,17389.0,United Kingdom,2009-12-04,908.0400000000001,484
490212,16883.0,United Kingdom,2009-12-04,108.95,41
490214,13175.0,United Kingdom,2009-12-04,319.15,201
490218,17076.0,United Kingdom,2009-12-04,67.67999999999999,48
490219,13948.0,United Kingdom,2009-12-04,155.65,63
490229,18223.0,United Kingdom,2009-12-04,1185.16,713
490247,16192.0,United Kingdom,2009-12-04,351.3,208
490258,15999.0,United Kingdom,2009-12-04,20.4,24
490266,15109.0,United Kingdom,2009-12-04,231.2,50
490272,14680.0,United Kingdom,2009-12-04,519.89,272
490277,18092.0,United Kingdom,2009-12-04,1077.6,600
490279,16891.0,United Kingdom,2009-12-04,297.68,154
490281,13481.0,United Kingdom,2009-12-04,311.2,148
490282,13807.0,United Kingdom,2009-12-04,107.95,43
490284,14979.0,United Kingdom,2009-12-04,429.66,209
490285,16656.0,United Kingdom,2009-12-04,373.74,210
490286,14527.0,United Kingdom,2009-12-04,762.1,147
490287,16746.0,United Kingdom,2009-12-04,367.1,218
490288,17157.0,United Kingdom,2009-12-04,332.16,112
490289,15309.0,United Kingdom,2009-12-04,273.75,143
490290,16325.0,United Kingdom,2009-12-04,164.03,85
490291,16541.0,United Kingdom,2009-12-04,424.03,173
490292,16723.0,United Kingdom,2009-12-04,426.43,150
490293,16699.0,United Kingdom,2009-12-04,137.4,130
490294,16710.0,United Kingdom,2009-12-04,378.96,298
490295,12510.0,Spain,2009-12-04,435.88,504
490297,13162.0,United Kingdom,2009-12-04,694.2,328
490298,15382.0,United Kingdom,2009-12-04,1523.2,954
490299,13680.0,United Kingdom,2009-12-04,618.2700000000001,192
490300,12970.0,United Kingdom,2009-12-04,237.99,172
490301,15311.0,United Kingdom,2009-12-04,345.27,93
490302,17841.0,United Kingdom,2009-12-04,300.32,126
490303,17935.0,United Kingdom,2009-12-04,106.25,55
490304,17593.0,United Kingdom,2009-12-04,843.01,339
490305,17243.0,United Kingdom,2009-12-04,726.57,289
490308,12835.0,United Kingdom,2009-12-04,194.53,85
490310,17151.0,United Kingdom,2009-12-04,231.90000000000003,42
490311,16451.0,United Kingdom,2009-12-04,307.65000000000003,201
490312,17961.0,United Kingdom,2009-12-04,326.13,352
490313,17127.0,United Kingdom,2009-12-04,137.95,49
490320,13694.0,United Kingdom,2009-12-04,867.89,1327
490323,14087.0,United Kingdom,2009-12-04,235.44,200
490324,13694.0,United Kingdom,2009-12-04,672.0,320
490326,13733.0,United Kingdom,2009-12-04,149.10000000000002,62
490327,13694.0,United Kingdom,2009-12-04,990.0,600
490331,18181.0,United Kingdom,2009-12-04,298.99,115
490340,13174.0,United Kingdom,2009-12-04,630.39,363
490341,13329.0,United Kingdom,2009-12-04,334.65,270
490342,17421.0,United Kingdom,2009-12-04,130.8,96
490346,16351.0,United Kingdom,2009-12-04,216.6,156
490347,15684.0,United Kingdom,2009-12-04,109.4,68
490349,17884.0,United Kingdom,2009-12-04,32.25,9
490353,15514.0,United Kingdom,2009-12-04,494.63,378
490355,13093.0,United Kingdom,2009-12-04,538.1099999999999,287
490356,17884.0,United Kingdom,2009-12-04,117.13000000000001,103
490359,18225.0,United Kingdom,2009-12-04,59.5,10
490360,13679.0,United Kingdom,2009-12-04,126.8,34
490362,12748.0,United Kingdom,2009-12-04,205.35,199
490363,13199.0,United Kingdom,2009-12-05,138.24,192
490364,13487.0,United Kingdom,2009-12-05,103.95,25
490365,17018.0,United Kingdom,2009-12-05,351.6,120
490366,18071.0,United Kingdom,2009-12-05,227.25,147
490367,16593.0,United Kingdom,2009-12-05,79.6,8
490368,14238.0,United Kingdom,2009-12-05,159.1,18
490369,15223.0,United Kingdom,2009-12-05,230.2,44
490370,17593.0,United Kingdom,2009-12-05,452.95,177
490371,13021.0,United Kingdom,2009-12-05,233.70999999999998,185
490372,17115.0,United Kingdom,2009-12-05,434.15,95
490373,17850.0,United Kingdom,2009-12-05,502.54,146
490374,14239.0,United Kingdom,2009-12-05,136.75,65
490375,13999.0,United Kingdom,2009-12-05,350.55,185
490376,13958.0,United Kingdom,2009-12-05,796.5500000000001,389
490377,13958.0,United Kingdom,2009-12-05,15.0,12
490378,13641.0,United Kingdom,2009-12-05,224.1,134
490380,17850.0,United Kingdom,2009-12-05,478.74,142
490381,15420.0,United Kingdom,2009-12-05,97.11,141
490382,12359.0,Cyprus,2009-12-05,760.69,397
490383,12820.0,United Kingdom,2009-12-05,148.3,50
490385,16410.0,United Kingdom,2009-12-05,130.32,348
490386,15240.0,United Kingdom,2009-12-05,549.77,473
490387,17850.0,United Kingdom,2009-12-05,450.84000000000003,130
490388,16158.0,United Kingdom,2009-12-05,146.62,84
490389,15484.0,United Kingdom,2009-12-05,689.5,611
490390,14709.0,United Kingdom,2009-12-05,256.2,104
490391,15057.0,United Kingdom,2009-12-05,304.1,100
490392,14867.0,United Kingdom,2009-12-05,203.32,56
490393,17642.0,United Kingdom,2009-12-05,281.02,281
490394,17850.0,United Kingdom,2009-12-05,870.2800000000001,260
490395,13813.0,Germany,2009-12-06,283.15,167
490396,13589.0,United Kingdom,2009-12-06,269.15,77
490397,12417.0,Belgium,2009-12-06,309.1,142
490398,17920.0,United Kingdom,2009-12-06,567.71,236
490399,12975.0,United Kingdom,2009-12-06,441.63,115
490400,16104.0,United Kingdom,2009-12-06,689.9,183
490401,17150.0,United Kingdom,2009-12-06,139.25,49
490403,17920.0,United Kingdom,2009-12-06,291.09,135
490404,16277.0,United Kingdom,2009-12-06,188.69,33
490405,17244.0,United Kingdom,2009-12-06,260.65,57
490408,17850.0,United Kingdom,2009-12-06,413.44,128
490430,15260.0,United Kingdom,2009-12-06,253.55,83
490458,12583.0,France,2009-12-06,817.4399999999999,388
490459,15555.0,United Kingdom,2009-12-06,947.39,414
490461,13736.0,United Kingdom,2009-12-06,710.84,380
490463,14133.0,United Kingdom,2009-12-06,305.5,50
490464,15571.0,United Kingdom,2009-12-06,118.25999999999999,43
490465,13448.0,United Kingdom,2009-12-06,918.35,466
490466,17085.0,United Kingdom,2009-12-06,183.6,79
490467,15059.0,United Kingdom,2009-12-06,280.94,169
490468,14468.0,United Kingdom,2009-12-06,204.24,164
490470,16395.0,United Kingdom,2009-12-06,242.96,166
490471,15878.0,United Kingdom,2009-12-06,212.13,71
490472,16485.0,United Kingdom,2009-12-06,619.24,340
490473,15860.0,United Kingdom,2009-12-06,204.65,185
490474,13373.0,United Kingdom,2009-12-06,748.42,336
490476,14608.0,United Kingdom,2009-12-06,211.62,98
490477,17850.0,United Kingdom,2009-12-06,533.14,158
490478,14896.0,United Kingdom,2009-12-06,298.25,128
490479,16779.0,United Kingdom,2009-12-06,1450.2,778
490481,16964.0,United Kingdom,2009-12-06,21.25,5
490482,15983.0,United Kingdom,2009-12-06,289.3,147
490483,13782.0,United Kingdom,2009-12-06,132.4,28
490484,16964.0,United Kingdom,2009-12-06,186.6,44
490485,14454.0,United Kingdom,2009-12-06,125.94,63
490486,16779.0,United Kingdom,2009-12-06,90.0,72
490487,14717.0,United Kingdom,2009-12-06,81.3,32
490488,16718.0,United Kingdom,2009-12-06,647.82,503
490489,15751.0,United Kingdom,2009-12-06,266.19,87
490490,14546.0,United Kingdom,2009-12-06,546.48,312
490491,17848.0,United Kingdom,2009-12-06,175.20000000000002,85
490493,15751.0,United Kingdom,2009-12-06,12.75,3
490494,17561.0,United Kingdom,2009-12-06,189.7,80
490496,15547.0,United Kingdom,2009-12-06,666.61,335
490499,17406.0,United Kingdom,2009-12-06,406.70000000000005,356
490500,14479.0,United Kingdom,2009-12-06,355.13,188
490501,16710.0,United Kingdom,2009-12-06,283.14,422
490502,17969.0,United Kingdom,2009-12-06,101.4,26
